codigo,titulo,tipo,zona,departamento,municipio,hab,banos,parqueos,m2_constr,unidad_m2,terreno,unidad_terreno,precio,moneda,descripcion,url,imagen,lat,lng,geo_tipo
qc4409,Preciosa casa en carretera Vieja a León,Casa,Carretera Vieja a Leon,Managua,Managua,4,4.5,10,400.00,Mt²,"2,700.00",Vrs²,330000.00,USD,"Hermosa casa ubicada a 15 minutos del centro de la ciudad, en residencial seguro, cuenta con 3 salas, comedor, cocina, 4 habitaciones, 5 baños, cuarto de servicio con su baño completo, tiene la part...",https://www.quierocasa.com/anuncio/qc4409/0/preciosa-casa-en-carretera-vieja-a-leon.htm,https://www.quierocasa.com/gallery/qc4409/350/qc4409-27.jpg,12.0731952,-86.4953759,trunk
qc6965,Casa en Venta en Santo Domingo,Casa,Santo Domingo,Managua,Managua,4,4,2,270.00,Mt²,979.44,Vrs²,299000.00,USD,"Descubre esta amplia y funcional casa en venta ubicada en la exclusiva zona de Santo Domingo, ideal para familias que buscan confort, privacidad y espacios bien distribuidos en un entorno seguro y res...",https://www.quierocasa.com/anuncio/qc6965/0/casa-en-venta-en-santo-domingo.htm,https://www.quierocasa.com/gallery/qc6965/350/qc6965-1.jpg,12.1516383,-86.2663177,administrative
qc7176,Casa en Venta en Bosques de Bolonia,Casa,Bosques de Bolonia,Managua,Managua,4,4,4,391.63,Mt²,842.87,Mt²,280000.00,USD,"Esta hermosa casa en venta, ubicada en Bosques de Bolonia, ofrece una distribución amplia y funcional, con ambientes diseñados para brindar comodidad, privacidad y espacios ideales para compartir. ...",https://www.quierocasa.com/anuncio/qc7176/0/casa-en-venta-en-bosques-de-bolonia.htm,https://www.quierocasa.com/gallery/qc7176/350/qc7176-21.jpg,12.1385657,-86.2885739,hotel
qc7170,Casa en Venta en Carretera a Masaya,Casa,Carretera a Masaya,Managua,Managua,3,2.5,2,195.00,Mt²,623.00,Vrs²,215000.00,USD,"¡Encuentra el hogar ideal para tu familia en una de las zonas más convenientes y de fácil acceso de Managua! Esta agradable casa en venta, ubicada en Carretera a Masaya, ofrece una distribución fu...",https://www.quierocasa.com/anuncio/qc7170/0/casa-en-venta-en-carretera-a-masaya.htm,https://www.quierocasa.com/gallery/qc7170/350/qc7170-1.jpg,12.0777949,-86.2231504,trunk
qc6534,Casa en venta en Las Colinas,Casa,Las Colinas,Managua,Managua,4,4,2,,,,,196000.00,USD,"Descubre esta hermosa casa en venta, ubicada en una de las zonas más exclusivas y seguras de Managua: Las Colinas. Ideal para familias que buscan vivir con tranquilidad, comodidad y acceso a excelent...",https://www.quierocasa.com/anuncio/qc6534/0/casa-en-venta-en-las-colinas.htm,https://www.quierocasa.com/gallery/qc6534/350/qc6534-34.jpg,12.1964007,-86.3692092,village
qc7147,Casa en Venta en Reparto San Juan,Casa,Reparto San Juan,Managua,Managua,3,2,1,114.32,Mt²,162.15,Vrs²,129500.00,USD,"Descubre esta excelente casa de dos plantas en venta en Reparto San Juan, una propiedad ideal para quienes buscan comodidad, funcionalidad y una ubicación estratégica en Managua. Su distribución of...",https://www.quierocasa.com/anuncio/qc7147/0/casa-en-venta-en-reparto-san-juan.htm,https://www.quierocasa.com/gallery/qc7147/350/qc7147-1.jpg,12.1219000,-86.2697106,administrative
qc7169,Tu nuevo hogar te espera en Lomas del Valle,Casa,Lomas del Valle,Managua,Managua,3,2,2,312.00,Mt²,245.00,Vrs²,245000.00,USD,"Descubre esta acogedora casa ubicada en Lomas del Valle, ideal para quienes buscan comodidad, funcionalidad y espacios bien distribuidos para disfrutar en familia. Características de la propieda...",https://www.quierocasa.com/anuncio/qc7169/0/tu-nuevo-hogar-te-espera-en-lomas-del-valle.htm,https://www.quierocasa.com/gallery/qc7169/350/qc7169-1.jpg,12.1094325,-86.2448537,administrative
qc7168,Casa en Venta en Santo Domingo,Casa,Santo Domingo,Managua,Managua,4,4,2,700.00,Mt²,"2,232.00",Vrs²,888000.00,USD,"Descubre esta espectacular residencia ubicada en Santo Domingo, diseñada para brindar comodidad, privacidad, seguridad y espacios ideales para disfrutar en familia. Una propiedad amplia, con excelent...",https://www.quierocasa.com/anuncio/qc7168/0/casa-en-venta-en-santo-domingo.htm,https://www.quierocasa.com/gallery/qc7168/350/qc7168-13.jpg,12.1516383,-86.2663177,administrative
qc7166,Oficina Moderna en Venta en Las Cumbres,Oficina,Las Cumbres,Managua,Managua,,,10,"2,300.00",Mt²,"10,000.00",Vrs²,3600000.00,USD,"¡Excelente oportunidad para establecer tu empresa en una ubicación estratégica! Se ofrece en venta moderna y amplia oficina en Las Cumbres, ubicada en una zona segura, tranquila y de fácil acceso,...",https://www.quierocasa.com/anuncio/qc7166/0/oficina-moderna-en-venta-en-las-cumbres.htm,https://www.quierocasa.com/gallery/qc7166/350/qc7166-1.jpg,12.0993011,-86.2569419,administrative
qc7164,Oficina en Venta en Reparto San Juan,Oficina,Reparto San Juan,Managua,Managua,5,3,2,295.25,Mt²,665.59,Vrs²,220000.00,USD,"¡Excelente oportunidad de inversión! Amplia y funcional oficina en venta en Reparto San Juan, ideal para empresas, despachos profesionales, clínicas, consultorios, instituciones o negocios que nece...",https://www.quierocasa.com/anuncio/qc7164/0/oficina-en-venta-en-reparto-san-juan.htm,https://www.quierocasa.com/gallery/qc7164/350/qc7164-5.jpg,12.1219000,-86.2697106,administrative
qc7163,Local Comercial en Venta en Mercado Oriental,Local Comercial,Mercado Oriental,Managua,Managua,,1,2,300.00,Mt²,,,450000.00,USD,"¡Haz crecer tu negocio en una de las zonas comerciales más dinámicas de Managua! Este amplio local de 300 mts², distribuido en tres plantas de 100 mts² cada una, ofrece el espacio ideal para empr...",https://www.quierocasa.com/anuncio/qc7163/0/local-comercial-en-venta-en-mercado-oriental.htm,https://www.quierocasa.com/gallery/qc7163/350/qc7163-2.jpg,12.1485742,-86.2601307,commercial
qc843,Se vende casa en Santo Domingo,Casa,Santo Domingo,Managua,Managua,4,4,2,950.00,Mt²,"2,600.00",Vrs²,950000.00,USD,"Se venta casa en Santo Domingo 4 cuartos con baños propios, piscina, rancho, patio grande, precio de venta $950,000.00.",https://www.quierocasa.com/anuncio/qc843/0/se-vende-casa-en-santo-domingo.htm,https://www.quierocasa.com/gallery/qc843/350/qc843-38.jpg,12.1516383,-86.2663177,administrative
qc4176,El terreno perfecto para tu nuevo hogar!,Terreno,Las Colinas,Managua,Managua,,,,,,"2,200.00",Vrs²,130000.00,USD,"Este amplio terreno esta ubicado en colinas de Santa Cruz, a tan solo 150 metros de la entrada principal. Este residencial es perfecto para tu familia, cuenta con amplias calles , areas verdes y parq...",https://www.quierocasa.com/anuncio/qc4176/0/el-terreno-perfecto-para-tu-nuevo-hogar.htm,https://www.quierocasa.com/gallery/qc4176/350/qc4176-6.jpg,12.1964007,-86.3692092,village
qc7158,Casa en Venta en Santo Domingo,Casa,Santo Domingo,Managua,Managua,4,4.5,4,431.00,Mt²,950.00,Vrs²,600000.00,USD,"¡Encuentra el hogar ideal para tu familia en una de las zonas residenciales más buscadas de Managua! Esta hermosa casa de dos plantas en venta en Santo Domingo ofrece espacios amplios, excelente dis...",https://www.quierocasa.com/anuncio/qc7158/0/casa-en-venta-en-santo-domingo.htm,https://www.quierocasa.com/gallery/qc7158/350/qc7158-1.jpg,12.1516383,-86.2663177,administrative
qc7157,Terreno en Venta en Las Jagüitas,Terreno,Esquipulas,Managua,Managua,,,,,,"15,000.00",Vrs²,270000.00,USD,"¡Excelente oportunidad de inversión! Ponemos a su disposición amplio terreno en venta ubicado en Las Jagüitas, Managua, con una extensión de 15,000 varas cuadradas, ideal para desarrollar proyect...",https://www.quierocasa.com/anuncio/qc7157/0/terreno-en-venta-en-las-jaguitas.htm,https://www.quierocasa.com/gallery/qc7157/350/qc7157-1.jpg,12.0745878,-86.2158151,neighbourhood
qc2500,Moderna casa en Venta en Villa Fontana,Casa,Villa Fontana Sur,Managua,Managua,4,4,2,250.00,Mt²,700.00,Vrs²,350000.00,USD,"Descubre el hogar ideal en un exclusivo condominio en Villa Fontana, diseñado para brindar comodidad, seguridad y un estilo de vida moderno. Esta hermosa propiedad cuenta con diseño contemporáneo, ...",https://www.quierocasa.com/anuncio/qc2500/0/moderna-casa-en-venta-en-villa-fontana.htm,https://www.quierocasa.com/gallery/qc2500/350/qc2500-20.jpg,12.1033874,-86.2671277,administrative
qc6789,Preciosa Casa en Venta en Villa Fontana,Casa,Villa Fontana,Managua,Managua,3,3.5,2,182.11,Mt²,180.72,Vrs²,200000.00,USD,"Vive con comodidad y elegancia en esta hermosa casa amueblada, ubicada dentro de un condominio exclusivo en Villa Fontana, una de las zonas más céntricas y seguras de Managua. Su excelente ubicació...",https://www.quierocasa.com/anuncio/qc6789/0/preciosa-casa-en-venta-en-villa-fontana.htm,https://www.quierocasa.com/gallery/qc6789/350/qc6789-50.jpg,12.1033874,-86.2671277,administrative
