titulo,precio,tamano_lote,tipo_unidad_lote,source,localizacion,coordenadas,enlace,barrio_colonia,municipio_ciudad,departamento_provincia
"RIVAS, NIC, RIVAS, TOLA 47000",110000,35252,SQ_MT,kwnicaragua.com,Si,"11.4846027,-86.0962783",https://kwnicaragua.kw.com/property/RIVAS-TOLA-47000/2016060977287768,La Virgen Morena,La Virgen Morena,Rivas
"Carretera a Masaya , NIC, Carretera a Masaya , Managua, NIC",1850000,2135,SQ_MT,kwnicaragua.com,Si,"12.11649101890177,-86.25559358759551",https://kwnicaragua.kw.com/property/Carretera-a-Masaya-Managua-NIC/1653396706889280,Planes de Altamira 2,Managua,Managua
"Managua, NIC, #km 12 carretera a masaya, Managua, Managua 31000",31000,335,SQ_MT,kwnicaragua.com,Si,"12.061968647928651,-86.20596418636536",https://kwnicaragua.kw.com/property/km-12-carretera-a-masaya-Managua-Managua-31000/2018233104467330,,Nindirí,Masaya
"Nindirí, Nicaragua, Nindirí, Masaya, Nicaragua",466161,31725.55,SQ_MT,kwnicaragua.com,Si,"12.085432,-86.159914",https://kwnicaragua.kw.com/property/Nindir-Masaya-Nicaragua/1798773613579584,Veracruz,Nindirí,Masaya
"Managua, NIC, Managua, Managua, NIC",35000,150.83,SQ_MT,kwnicaragua.com,Si,"12.154599514663134,-86.25117675841548",https://kwnicaragua.kw.com/property/Managua-Managua-NIC/2023113280102956,Benedicto Valverde (Quinta Nina),Managua,Managua
"Managua, NIC, Managua, Managua, NIC",30000,195.46,SQ_MT,kwnicaragua.com,Si,"12.1117477,-86.3135879",https://kwnicaragua.kw.com/property/Managua-Managua-NIC/2023281324123522,San Patricio,Managua,Managua
"Managua, NIC, Managua, Managua, NIC",1000000,1286.69,SQ_MT,kwnicaragua.com,Si,"12.1398397,-86.2806064",https://kwnicaragua.kw.com/property/Managua-Managua-NIC/2023187959375228,Bolonia,Managua,Managua
"Managua, NIC, Managua, Managua, NIC",285000,742.28,SQ_MT,kwnicaragua.com,Si,"12.101880962642177,-86.26561037403103",https://kwnicaragua.kw.com/property/Managua-Managua-NIC/2021007012771200,Villa Fontana Sur,Managua,Managua
"Managua, NIC, Parque Los Marañones #Lote H550, Managua, Managua 0000",65500,185.4,SQ_MT,kwnicaragua.com,Si,"12.1147962,-86.25360789999999",https://kwnicaragua.kw.com/property/Parque-Los-Maraones-Lote-H550-Managua-Managua-0000/2020795502610172,Grenada,Managua,Managua
"Managua, NIC, Managua, Managua, NIC",280000,341.84,SQ_MT,kwnicaragua.com,Si,"12.1478269,-86.182026",https://kwnicaragua.kw.com/property/Managua-Managua-NIC/2019288836413166,Unidad de Propósito,Managua,Managua
"Ciudad Sandino, NIC, Ciudad Sandino, Managua, NIC",36000,211.68,SQ_MT,kwnicaragua.com,Si,"12.17976071938694,-86.34271286773681",https://kwnicaragua.kw.com/property/Ciudad-Sandino-Managua-NIC/1989209203322560,Tangará,Ciudad Sandino,Managua
"Managua, NIC, Managua, El Crucero 16100",96500,354.33,SQ_MT,kwnicaragua.com,Si,"11.9819011,-86.3108199",https://kwnicaragua.kw.com/property/Managua-El-Crucero-16100/2008619544246018,Las Conchitas,Las Conchitas,Managua
"Managua, NIC, Mayales Mayales #3ra etapa , Managua, Managua 0000",65000,172,SQ_MT,kwnicaragua.com,Si,"12.090309867176222,-86.19785338570557",https://kwnicaragua.kw.com/property/Mayales-Mayales-3ra-etapa-Managua-Managua-0000/1944561533052736,Residencial Mayales,Managua,Managua
"Managua., NIC, Managua., Managua., NIC",110000,650,SQ_MT,kwnicaragua.com,Si,"12.03909401740086,-86.21403480556434",https://kwnicaragua.kw.com/property/Managua-Managua-NIC/2007988577985180,Reparto Leonel Reynosa,Ticuantepe,Managua
"Managua, NIC, Carretera a Masaya, Managua, MN, NIC",1221154,,,kwnicaragua.com,Si,"12.07687485284858,-86.22258479256932",https://kwnicaragua.kw.com/property/Carretera-a-Masaya-Managua-MN-NIC/2022828693361240,Reparto Santa María del Lago,Managua,Managua
"Managua, NIC, Managua, Managua, NIC",45000,93,SQ_MT,kwnicaragua.com,Si,"12.154497565234047,-86.25117643764378",https://kwnicaragua.kw.com/property/Managua-Managua-NIC/2023109030717638,Benedicto Valverde (Quinta Nina),Managua,Managua
"Jinotepe, NIC, Jinotepe, Carazo, NIC",110000,407.97,SQ_MT,kwnicaragua.com,Si,"11.8548203,-86.2087023",https://kwnicaragua.kw.com/property/Jinotepe-Carazo-NIC/1994450516911872,Cristo Rey Nº 2,Jinotepe,Carazo
"Santa Teresa, NIC, Santa Teresa, Carazo, NIC",156000,36767.45,SQ_MT,kwnicaragua.com,Si,"11.8035277,-86.1624587",https://kwnicaragua.kw.com/property/Santa-Teresa-Carazo-NIC/2021112084574796,,Santa Teresa,Carazo
