id,titulo,zona,categoria,precio,moneda,hab,banos,m2,lote_vrs,url,imagen,municipio,departamento,lat,lng,geo_tipo,municipio,departamento,lat,lng,geo_tipo
11322,Casa quinta en Venta en Carretera Masaya ID 11322,Carretera Masaya,2,630000,USD,2,1,90,16495,"https://discovernica.com/propiedades/detalles/11322/hermosa-quinta-carretera-masaya-2-habitaciones-1-baño-cocina-sala-comedor-U$-643,305.",https://discovernica.com/assets/images/properties/hermosa_quinta_carretera_masaya_2_habitaciones_1_ba_o_cocina_sala_comedor_ID11393_4.jpg,Masaya,,,,,Masaya,,,,
11746,Se vende amplia casa con piscina en Santo Domingo,Santo Domingo,2,1100000,USD,5,5,545,3485.93,https://discovernica.com/propiedades/detalles/11746/casa-venta-5-habitaciones-santo-domingo-piscina,https://discovernica.com/assets/images/properties/ID11746_7_.jpg,Managua,Managua,12.1516383,-86.2663177,administrative,Managua,Managua,12.1516383,-86.2663177,administrative
14573,Casa en venta en Linda Vista - Ideal para vivir o establecer oficina,Linda Vista,2,145000,USD,3,2,119.88,380,https://discovernica.com/propiedades/detalles/14573/casa-venta-linda-vista-3-habitaciones,https://discovernica.com/assets/images/properties/ID14573.png,Managua,Managua,12.1552762,-86.3059544,administrative,Managua,Managua,12.1552762,-86.3059544,administrative
11725,Se vende amplia casa en Santo Domingo,Santo Domingo,2,888000,USD,4,4,700,2200,https://discovernica.com/propiedades/detalles/11725/casa-venta-santo-domingo-amplia-residencial-4-habitaciones,https://discovernica.com/assets/images/properties/asas.jpg,Managua,Managua,12.1516383,-86.2663177,administrative,Managua,Managua,12.1516383,-86.2663177,administrative
14555,Amplia casa en venta/renta sobre Carretera Vieja a León,,2,520000,USD,5,6.5,700,6700,https://discovernica.com/propiedades/detalles/14555/casa-amplia-venta-renta-Carretera-Vieja-a-León,https://discovernica.com/assets/images/properties/pisina.jpg,Managua,Managua,12.1547116,-86.2737250,administrative,Managua,Managua,12.1547116,-86.2737250,administrative
14442,Se Vende Amplia Casa en Carretera a Masaya,Carretera a Masaya,2,140000,USD,3,2,200,355.00,https://discovernica.com/propiedades/detalles/14442/venta-amplia-casa-en-carretera-a-masaya-3-habitaciones,https://discovernica.com/assets/images/properties/ID14442_1.png,Masaya,,,,,Masaya,,,,
14030,Casa en venta y renta en Santo Domingo,Santo Domingo,46,260000,USD,3,4,250,670,https://discovernica.com/propiedades/detalles/14030/Casa-venta-y-renta-en-Santo-Domingo,https://discovernica.com/assets/images/properties/5_IMG_20241211_WA0103.jpg,Managua,Managua,12.1516383,-86.2663177,administrative,Managua,Managua,12.1516383,-86.2663177,administrative
15141,Casas en venta en Santo Domingo,Santo Domingo,2,336736,USD,4,3.5,235.50,954.29,https://discovernica.com/propiedades/detalles/15141/casas-venta-santo-domingo,https://discovernica.com/assets/images/properties/Santa_Catalina_Luxury_Residences_2026_3_modelos_Final21.jpg,Managua,Managua,12.1516383,-86.2663177,administrative,Managua,Managua,12.1516383,-86.2663177,administrative
15035,Se vende acogedora casa en Jinotepe,Jinotepe,2,50000,USD,2,1,160,437.36,https://discovernica.com/propiedades/detalles/15035/En  venta casa de  un piso en  Jinotepe.,https://discovernica.com/assets/images/properties/15035_1.png,Jinotepe,,,,,Jinotepe,,,,
13164,Acogedora casa en venta y renta en Carretera Sur,Carretera Sur,46,660000,USD,4,4.5,540,3900,https://discovernica.com/propiedades/detalles/13164/casa-venta-renta-carretera-sur-3-habitaciones,https://discovernica.com/assets/images/properties/IMG_20250711_WA0052.jpg,Managua,Managua,12.1442663,-86.2915488,trunk,Managua,Managua,12.1442663,-86.2915488,trunk
