id,categoria,precio,moneda,precio_usd,lat,lng,ciudad,direccion,calle,numero,zip,habitaciones,banos,area_m2,area_unidad,lote_m2,lote_unidad,estado,mls_estado,tipo_propiedad,mls,mls_numero,url,fecha_publicacion,es_duplicado,imagen,descripcion
2154788240845108,sale,201912,USD,,12.046026696880293,-86.1830712989502,Nindirí,"Los Madrigales Sur #Entrada Matadero Industrial Tip Top CARGUILL 7 cuadras hacia el norte y 3 cuadras al este, Nindirí, Masaya",,,,,0,,,3558,SQ_MT,active,,Industrial,KWW_KWNI,O0-14135940,https://kwnicaragua.kw.com/property/Los-Madrigales-Sur-Entrada-Matadero-Industrial-Tip-Top-CARGUILL-7-cuadras-hacia-el-norte-y-3-cuadras-al-este-Nindir-Masaya/2154788240845108,2026-09-02T18:55:48.019Z,False,https://storage.googleapis.com/attachment-listing-prod-5af4/2000116154/listing/545e4c9d59e219434d1a1ff8/dac72gjlsbps774nffbg.jpeg,"🌾 Terreno en Los Madrigales Sur – Nindirí  💰 Precio de venta  • US$201,912  • US$40 por vara²  • Precio negociable.  📍 Ubicación  • Los Madrigales Sur, Nindirí.  • Entrada Matadero Industrial Tip Top CARGILL, 727 m al norte y 347.92 m al este.  • Con acceso desde la zona de Carretera Managua–Masaya.  📐 Área  • Terreno: 3,558.76 m².  • Medidas: 5,047.81 varas².  🏗️ Distribución / Características  • Terreno con acceso adecuado para furgones y camiones.  ✨ Extras / Beneficios  • Buen acceso para furgones y camiones.  • Ubicación con acceso desde la zona de Carretera Managua–Masaya.  • Ideal para proyectos comerciales, industriales o de almacenamiento.  "
2153851645237556,sale,70000,USD,,12.1402382,-86.25712580000001,Managua,"Campo bruce, Managua, Managua",,,,2,1,152,SQ_MT,152,SQ_MT,active,,Single Family Detached,KWW_KWNI,O0-14119107,https://kwnicaragua.kw.com/property/Campo-bruce-Managua-Managua/2153851645237556,2026-09-02T14:31:59.021Z,False,https://storage.googleapis.com/attachment-listing-prod-5af4/675581/listing/78a7bfb932c487cc188d8d00/dac393rlsbps774nf5b0.jpeg,"Propiedad en venta en Campo Bruce  - Excelente para construir bodega - De fácil acceso y movilización  - A 100 mts del antiguo Cine Salinas - A 300 mts de la ampliación de la pista - Calles anchas - 5 calles de acceso - Servicios básicos - Documentación en regla  152 mts2 de terreno  Precio: U$70,000 negociables"
2154472830716212,sale,63000,USD,,12.140272115578739,-86.30424118743323,Managua,"Batahola Norte, Managua, MN",Batahola Norte,,,2,1,110,SQ_MT,128,SQ_MT,active,,Other,KWW_KWNI,O0-14131343,https://kwnicaragua.kw.com/property/Batahola-Norte-Managua-MN/2154472830716212,2026-09-01T21:32:23.445Z,False,https://storage.googleapis.com/attachment-listing-prod-5af4/869848/listing/1344875ca77297c9fa80a260/dabk90lpq4ac70pfuf7g.jpg,"🏡 CASA EN VENTA | BATAHOLA NORTE  Una opción práctica y accesible para vivir o invertir en Managua.  ✨ Características: • 2 habitaciones • 1 baño • Sala • Cocina • Patio • Porche • Garaje  📐 Área de terreno: 182 vrs² 🏗️ Área de construcción: 110 m²  💰 Precio de venta: U$63,000  ⚠️ Venta únicamente con fondos propios.  📍 Ubicada en Batahola Norte, con fácil acceso a comercios, transporte y servicios."
2153340468791604,sale,340000,USD,,12.0832394,-86.2455732,Managua,"Obeliscos de Santo Domingo, Managua, Managua",,,,,0,,,3525.07,SQ_MT,active,,Agriculture,KWW_KWNI,O0-14115842,https://kwnicaragua.kw.com/property/Obeliscos-de-Santo-Domingo-Managua-Managua/2153340468791604,2026-08-29T16:44:47.896Z,False,https://storage.googleapis.com/attachment-listing-prod-5af4/2000044395/listing/f63cf30576e96be92ebe28d0/da9gp6dpq4ac70pfsi70.jpeg,"En Venta Terreno | Obeliscos de Santo Domingo  -Área: 5,000 v² (3,525.07 m²) -Precio: $68 x v²  Excelente oportunidad de inversión en una de las zonas de mayor proyección de Santo Domingo. "
2140650948937350,sale,55000,USD,,12.1152319,-86.20123629999999,MANAGUA,"managua villa libertad #colegio villa libertad 1 c. al sur y 1. c al e. casa N. F-1037, MANAGUA, Managua 16500",villa libertad,managua,16500,3,2,126,SQ_MT,126,SQ_MT,active,,Duplex,KWW_KWNI,O0-13936812,https://kwnicaragua.kw.com/property/managua-villa-libertad-colegio-villa-libertad-1-c-al-sur-y-1-c-al-e-casa-N-F1037-MANAGUA-Managua-16500/2140650948937350,2026-07-24T20:11:00.588Z,False,https://storage.googleapis.com/attachment-listing-prod-5af4/2000105178/listing/62579a43bdca2b025cf052d7/d9hsqbpnkuuc70qge140.jpeg,"Se Vende Cómoda Casa de 2 Pisos Ubicado en Villa Libertad   casa ideal para vivienda o se puede establecer para negocios Tambien zona Centrica a 1 c, del colegio villa libertad .   tiene todo cerca, colegio, iglesias, super mercado, paradas de ruta: 112, 163, 118,168,116."
2154474229983540,sale,150000,USD,,12.108086948086939,-86.26726850753172,Mangua,"Villa Fontana Norte, Mangua, Managua 00000",,,00000,3,2,140,SQ_MT,374.85,SQ_MT,active,,Mobile Home,KWW_KWNI,O0-14131318,https://kwnicaragua.kw.com/property/Villa-Fontana-Norte-Mangua-Managua-00000/2154474229983540,2026-09-01T21:38:05.061Z,False,https://storage.googleapis.com/attachment-listing-prod-5af4/644246/listing/2154474229983540/dabkg9tpq4ac70pfufl0.jpeg,"🏡 CASA EN VENTA | VILLA FONTANA  📍 Villa Fontana — zona de alta plusvalía  Una propiedad cómoda, funcional y con excelente ubicación, ideal para quienes buscan vivir en una de las zonas residenciales más atractivas de Managua.   Fuera de condominio  💵Precio de venta $150,000  ✨ Características: •⁠  ⁠531 vrs² de terreno •⁠  ⁠Aproximadamente 140 m² de construcción  •⁠  ⁠3 habitaciones •⁠  ⁠Habitación principal con walking closet y baño privado •⁠  ⁠2 habitaciones secundarias que comparten baño, una de ellas con walking closet •⁠  ⁠A/C y abanico en todas las habitaciones •⁠  ⁠Cocina de concepto abierto • Comedor •⁠  ⁠Sala •⁠  ⁠Linda Terraza techada y cerrada con cedazo , tiene abanico •⁠  ⁠Patio frontal y patio trasero •⁠  ⁠Área cerrada para lavandería  •⁠  ⁠Garaje techado para 2 vehículos •⁠  ⁠Tanque de agua  📍 Villa Fontana Una ubicación privilegiada, rodeada de servicios, comercios y con excelente potencial de plusvalía.  Cómo un extra importante tiene árboles de naranja agria y limones jugosos, con mucha producción "
2151741925878068,sale,160000,USD,,11.9230436,-86.6081894,Villa El Carmen,"Gran Pacifica Resort #SB 02 #SB 02, Villa El Carmen, Managua",,,,0,0,0,SQ_MT,3274.72,SQ_MT,active,,Agriculture,KWW_KWNI,O0-14092045,https://kwnicaragua.kw.com/property/Gran-Pacifica-Resort-SB-02-SB-02-Villa-El-Carmen-Managua/2151741925878068,2026-08-25T04:20:18.632Z,False,https://storage.googleapis.com/attachment-listing-prod-5af4/889508/listing/2151741925878068/dac4k0rlsbps774nf880.jpeg,"🌴 Un terreno que no solo se compra… se proyecta.  Con una extensión de 3,274 m2 💎 Un terreno de esta magnitud no es para pensar en pequeño. Es para construir con visión.  Terreno dentro de Gran Pacifica Resort, esta propiedad abre la puerta a un mundo de posibilidades: desarrollar un proyecto turístico, construir una espectacular residencia, crear villas vacacionales o diseñar una inversión pensada para generar ingresos.  Y lo mejor es que no estás invirtiendo únicamente en metros cuadrados… estás invirtiendo en ubicación, amenidades y un estilo de vida frente al mar.🌊  ⛳ Campo de golf 🏊 Casa Club con piscinas 🍽️ 3 restaurantes 🍔 Opciones de comida rápida 🏖️ Hermosa playa 🌴 Amplias áreas recreativas y amenidades de resort  Imagina lo que puedes crear en 3,274 m² dentro de un destino donde las vacaciones, la naturaleza y la inversión se encuentran en un mismo lugar.  Ya sea para desarrollar, invertir o crear ese proyecto que tienes en mente, esta puede ser la oportunidad de convertir una gran extensión de tierra en un gran patrimonio.   Haz realidad tu próximo gran proyecto en Gran Pacifica Resort. "
2154521560254772,sale,250000,USD,,12.1082878,-86.2679155,Managua,"Villa Fontana, Managua, MN",,,,5,3.5,380,SQ_MT,738.16,SQ_MT,active,,Mixed Use,KWW_KWNI,O0-14132176,https://kwnicaragua.kw.com/property/Villa-Fontana-Managua-MN/2154521560254772,2026-09-02T00:50:40.303Z,False,https://storage.googleapis.com/attachment-listing-prod-5af4/2000035089/listing/cc7d870da7d1814e5b35e8c7/dabn61lpq4ac70pfuikg.jpeg,"Villa Fontana Sur - Casa en Venta  Precio: US$250,000 Terreno: 738.16m² = 1,047.01v² Construcción: 380m²  Distribución  • 5 dormitorios • 3 dormitorios con A/C • 2 baños completos • ½ baño de visitas • Porche • Sala / comedor • Terraza techada • Cocina • Sala de estar • Oficina con salida independiente • ½ baño para oficina  Área de servicio  • Área de servicio completa • Lavaplancha • Bodeguita para víveres • Dormitorio de servicio • Baño completo • Área de pila con 2 lavanderos • Lava lampazos • Patio tendedero • Bodega de herramientas  Exteriores  • Patio de fondo • Patio trasero • Estacionamiento para 5 vehículos • Caseta de guarda • ½ baño para guarda y jardinero  Equipamiento y seguridad  • Paneles solares • Inversor y baterías • Sistema de agua caliente solar • Cisterna de agua • Portón eléctrico • Cerca eléctrica"
2080817606415270,sale,70,USD,,12.1990363,-86.38645120000001,Managua,"Residencial Ciudad el Doral #calle principal #calle principal, Managua, Managua 505",,,505,3,2,320,SQ_MT,160,SQ_MT,active,,Other,KWW_KWNI,O0-13025075,https://kwnicaragua.kw.com/property/Residencial-Ciudad-el-Doral-calle-principal-calle-principal-Managua-Managua-505/2080817606415270,2026-02-05T18:28:30.953Z,False,https://storage.googleapis.com/attachment-listing-prod-5af4/2000064849/listing/ac6c056e4bfb7ae518243194/d62mt8hnkuuc70t379l0.jpeg,"🏗️ Propiedad en Venta – Ciudad El Doral 🏗️ 📍 Km 18 Carretera Nueva a León 📌 Ubicada en calle principal del residencial ✨ Propiedad de 2 pisos en obra gris, ideal para continuar tu proyecto a tu gusto. 💼 Zona con alto potencial comercial, rodeada de negocios de gran movimiento. 📐 Terreno: 160 m² 🏢 Construcción: 320 m² 🚗 Garaje para 1 vehículo 🌿 Sin patio Libre de Hipoteca"
2154083256113460,sale,190000,USD,,12.101074058152468,-86.23742330000002,Managua,"Paseo las colinas, Managua, MN 14197",Paseo las colinas,,14197,3,2,130.84,SQ_MT,238.96,SQ_MT,active,,Mixed Use,KWW_KWNI,O0-14122999,https://kwnicaragua.kw.com/property/Paseo-las-colinas-Managua-MN-14197/2154083256113460,2026-08-31T19:07:12.456Z,False,https://storage.googleapis.com/attachment-listing-prod-5af4/869274/listing/d380773744bfb22e73cb52ae/daat32jlsbps774ndpb0.jpg,"Casa en Venta en Residencial Paseo Las Colinas  📍Ubicación céntrica y estratégica. Cercana a carretera a Masaya, Iglesía, Colegios, Galerías Santo Domingo, gasolineras, plazas comerciales, hospital.  💠 Diseño arquitectónico personalizado y cuidadosamente adaptado, diferente a la distribución original del Residencial, creando espacios más funcionales y cómodos.  📐 Área de terreno: 238.96m2 🧱Área de construcción: 130.84m2  Descripción:   ✅Habitación principal con AA y su baño privado ✅2 habitaciones secundarias con AA cada una y baño compartido ✅Sala ✅Comedor ✅Cocina ✅Sala de estar ✅Terraza interna ✅Área de lavado techada ✅Cuarto de servicio con baño completo ✅Patio ✅Garaje techado para 1 vehículo  ✅Estacionamiento para 2 vehículos ✅Área verde comunal contigua a la casa, que queda casi de uso privado para el dueño de esta propiedad  💵 $190,000 Negociables   Aplica Sólo Fondos Propios"
