id,titulo,slug,loc,precio,moneda,hab,banos,lote,area,url,imagen,municipio,departamento,lat,lng,geo_tipo
37233,colonia unidad de proposito managua,casa-en-venta-managua-colonia-unidad-de-proposito/,colonia unidad de proposito managua,49000,USD,,1,,,https://www.sovinic.com.ni/propiedades/casa-en-venta-managua-colonia-unidad-de-proposito/,https://www.sovinic.com.ni/wp-content/uploads/2026/08/20260814_141120-525x328.jpg,Managua,Managua,12.1578261,-86.1815317,place_of_worship
37161,nindiri,casa-en-venta-en-nindiri/,nindiri,160000,USD,,3,,,https://www.sovinic.com.ni/propiedades/casa-en-venta-en-nindiri/,https://www.sovinic.com.ni/wp-content/uploads/2026/08/4-1-525x328.jpg,Nindirí,Masaya,12.0030065,-86.1201997,administrative
37102,b marvin marin,casa-en-venta-b-marvin-marin/,b marvin marin,35000,USD,,1,,,https://www.sovinic.com.ni/propiedades/casa-en-venta-b-marvin-marin/,https://www.sovinic.com.ni/wp-content/uploads/2026/08/Photo_1785808765568-525x328.jpg,,,12.1092446,-86.2930356,car_rental
37081,villa san jacinto managua,casa-en-venta-en-villa-san-jacinto-managua/,villa san jacinto managua,60000,USD,,1,,,https://www.sovinic.com.ni/propiedades/casa-en-venta-en-villa-san-jacinto-managua/,https://www.sovinic.com.ni/wp-content/uploads/2026/08/Photo_1785706465677-1-525x328.jpg,Managua,Managua,12.1390016,-86.2128894,neighbourhood
37072,batahola norte,casa-en-venta-batahola-norte/,batahola norte,35000,USD,,1,,,https://www.sovinic.com.ni/propiedades/casa-en-venta-batahola-norte/,https://www.sovinic.com.ni/wp-content/uploads/2026/08/Photo_1785520021717-525x328.jpg,,,12.1410700,-86.3038781,administrative
36950,nicaragua millones managua,venta-de-casa-de-lujo-en-managua-nicaragua-1-2-millones/,nicaragua millones managua,,USD,,5,,,https://www.sovinic.com.ni/propiedades/venta-de-casa-de-lujo-en-managua-nicaragua-1-2-millones/,https://www.sovinic.com.ni/wp-content/uploads/2026/07/DJI_0831.jpg-525x328.jpeg,Managua,Managua,12.1547116,-86.2737250,administrative
36881,san judas,casa-en-venta-en-san-judas/,san judas,60000,USD,,2,,,https://www.sovinic.com.ni/propiedades/casa-en-venta-en-san-judas/,https://www.sovinic.com.ni/wp-content/uploads/2026/07/740343171_1745792856447732_8385685658873249625_n-525x328.jpg,,,12.2188232,-86.0619691,administrative
36858,villa sonja granada,casa-en-venta-villa-sonja-granada/,villa sonja granada,11000,USD,,1,,,https://www.sovinic.com.ni/propiedades/casa-en-venta-villa-sonja-granada/,https://www.sovinic.com.ni/wp-content/uploads/2026/07/744314934_1057859856716314_2592122923985086097_n-2-525x328.jpg,Granada,Granada,11.9303670,-85.9535387,administrative
36789,km 10.5 carretera a masaya ubicado en residencial privado,casa-en-venta-km-10-5-carretera-a-masaya-ubicado-en-residencial-privado/,km 10.5 carretera a masaya ubicado en residencial privado,94000,USD,,2,,,https://www.sovinic.com.ni/propiedades/casa-en-venta-km-10-5-carretera-a-masaya-ubicado-en-residencial-privado/,https://www.sovinic.com.ni/wp-content/uploads/2026/07/Photo_1782997857182-1-525x328.jpg,Masaya,Masaya,11.9736474,-86.0960547,administrative
36769,residencial vistas de nejapa carretera sur km,casa-de-venta-en-residencial-vistas-de-nejapa-carretera-sur-klm-10-5/,residencial vistas de nejapa carretera sur km,72000,USD,,2,,,https://www.sovinic.com.ni/propiedades/casa-de-venta-en-residencial-vistas-de-nejapa-carretera-sur-klm-10-5/,https://www.sovinic.com.ni/wp-content/uploads/2026/07/file_000000002f60722fb942d829418eec21-525x328.png,,,,,
